# OFAC SDN list — name	program
# source: https://www.treasury.gov/ofac/downloads/sdn.csv (US Treasury, public domain)
# fetched: 2026-09-24
# refresh: node scripts/fetch-reference.ts
ISLAMIC MOVEMENT OF UZBEKISTAN	FTO] [SDGT
PATINO FOMEQUE, Victor Julio	SDNT
INDUSTRIA DE PESCA SOBRE EL PACIFICO S.A	SDNT
GALAPAGOS S.A	SDNT
DUQUE BOTERO, Jorge Alirio	SDNT
NEW IRISH REPUBLICAN ARMY	FTO] [SDGT
CARDENAS GUILLEN, Osiel	SDNTK
CARO QUINTERO, Miguel Angel	SDNTK
GUZMAN LOERA, Joaquin	SDNTK
MALHERBE DE LEON, Oscar	SDNTK
RAMON MAGANA, Alcides	SDNTK
UNITED SELF-DEFENSE FORCES OF COLOMBIA	SDNTK] [SDGT
ASBAT AL-ANSAR	FTO] [SDGT
SALAFIST GROUP FOR CALL AND COMBAT	FTO] [SDGT
LIBYAN ISLAMIC FIGHTING GROUP	SDGT
AL-ITIHAAD AL-ISLAMIYA	SDGT
ISLAMIC ARMY OF ADEN	SDGT
AL-ADL, Sayf	SDGT
AL-WALID, Mahfouz Ould	SDGT
HUSAYN, Zayn al-Abidin Muhammad	SDGT
AL-IRAQI, Abd al-Hadi	SDGT
SHIHATA, Thirwat Salah	SDGT
AHMAD, Tariq Anwar al-Sayyid	SDGT
MAKHTAB AL-KHIDAMAT/AL KIFAH	SDGT
WAFA HUMANITARIAN ORGANIZATION	SDGT
AL RASHID TRUST	SDGT
MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY	SDGT
ABDULLAH, Abdullah Ahmed	SDGT
ALI, Ahmed Mohammed Hamed	SDGT
AL-MUGHASSIL, Ahmad Ibrahim	SDGT
AL-NASSER, Abdelkarim Hussein Mohamed	SDGT
AL-YACOUB, Ibrahim Salih Mohammed	SDGT
ATWA, Ali	SDGT
EL-HOORIE, Ali Saed Bin Ali	SDGT
FADHIL, Mustafa Mohamed	SDGT
GHAILANI, Ahmed Khalfan	SDGT
IZZ-AL-DIN, Hasan	SDGT
MOHAMMED, Fazul Abdullah	SDGT
MOHAMMED, Khalid Shaikh	SDGT
YASIN, Abdul Rahman	SDGT
AL-HAMATI SWEETS BAKERIES	SDGT
JAISH-I-MOHAMMED	FTO] [SDGT
JAM'YAH TA'AWUN AL-ISLAMIA	SDGT
RABITA TRUST	SDGT
AGHA, Haji Abdul Manan	SDGT
AL-AHDAL, Mohammad Hamdi Mohammad Sadiq	SDGT
AL-HAQ, Amin	SDGT
HAMDAN, Salim Ahmad Salim	SDGT
AL-SHARIF, Sa'd Abdullah Hussein	SDGT
BIN MARWAN, Bilal	SDGT
BIN MUHAMMAD, Ayadi Chafiq	SDGT
DARKAZANLI, Mamoun	SDGT
HIJAZI, Riad	SDGT
UTHMAN, Omar Mahmoud	SDGT
AWEYS, Hassan Dahir	SDGT] [SOMALIA
AL-AQSA ISLAMIC BANK	SDGT
BEIT EL-MAL HOLDINGS	SDGT
HOLY LAND FOUNDATION FOR RELIEF AND DEVELOPMENT	SDGT
UMMAH TAMEER E-NAU	SDGT
MAHMOOD, Sultan Bashir-Ud-Din	SDGT
MAJEED, Abdul	SDGT
LASHKAR E-TAYYIBA	FTO] [SDGT
CONTINUITY IRA	FTO] [SDGT
FIRST OF OCTOBER ANTIFASCIST RESISTANCE GROUP	SDGT
LOYALIST VOLUNTEER FORCE	SDGT
ORANGE VOLUNTEERS	SDGT
RED HAND DEFENDERS	SDGT
ULSTER DEFENCE ASSOCIATION	SDGT
BOULGHITI, Boubekeur	SDGT
REVIVAL OF ISLAMIC HERITAGE SOCIETY	SDGT
AL-LIBI, Abd al-Muhsin	SDGT
ACCESOS ELECTRONICOS S.A.DE C.V.	SDNTK
ADMINISTRADORA DE INMUEBLES VIDA, S.A. DE C.V.	SDNTK
ADP, S.C.	SDNTK
COMPLEJO TURISTICO OASIS, S.A. DE C.V.	SDNTK
DISTRIBUIDORA IMPERIAL DE BAJA CALIFORNIA, S.A. DE C.V.	SDNTK
FARMACIA VIDA SUPREMA, S.A. DE C.V.	SDNTK
FORPRES, S.C.	SDNTK
GEX EXPLORE S. DE R.L. DE C.V.	SDNTK
OPERADORA VALPARK, S.A. DE C.V.	SDNTK
VALPARK, S.A. DE C.V.	SDNTK
AGUILAR AMAO, Miguel	SDNTK
AGUIRRE GALINDO, Manuel	SDNTK
ARELLANO FELIX, Enedina	SDNTK
FREGOSO AMEZQUITA, Maria Antonieta	SDNTK
GIL GARCIA, Jose Alejandro	SDNTK
HERNANDEZ PULIDO, Maria Elda	SDNTK
MIJARES TRANCOSO, Gilberto	SDNTK
MORENO MEDINA, Luis Ignacio	SDNTK
OROPEZA MEDRANO, Francisco Javier	SDNTK
RAMIREZ AGUIRRE, Sergio Humberto	SDNTK
TOLEDO CARREJO, Luis Raul	SDNTK
ABAUNZA MARTINEZ, Javier	SDGT
ALBERDI URANGA, Itziar	SDGT
ALCALDE LINARES, Angel	SDGT
ALBISU IRIARTE, Miguel	SDGT
ARZALLUS TAPIA, Eusebio	SDGT
ELCORO AYASTUY, Paulo	SDGT
FIGAL ARRANZ, Antonio Agustin	SDGT
GOGEASCOECHEA ARRONATEGUI, Eneko	SDGT
GOIRICELAYA GONZALEZ, Cristina	SDGT
IPARRAGUIRRE GUENECHEA, Maria Soledad	SDGT
MORCILLO TORRES, Gracia	SDGT
MUGICA GONI, Ainhoa	SDGT
MUNOA ORDOZGOITI, Alona	SDGT
NARVAEZ GONI, Juan Jesus	SDGT
OLARRA GURIDI, Juan Antonio	SDGT
ORBE SEVILLANO, Zigor	SDGT
OTEGUI UNANUE, Mikel	SDGT
PEREZ ARAMBURU, Jon Inaki	SDGT
SAEZ DE EGUILAZ MURGUIONDO, Carlos	SDGT
URANGA ARTOLA, Kemen	SDGT
VILA MICHELENA, Fermin	SDGT
AL-HARAMAIN ISLAMIC FOUNDATION	SDGT
AL-AQSA MARTYRS BRIGADE	FTO] [SDGT
THE AID ORGANIZATION OF THE ULEMA	SDGT
AOUADI, Mohamed Ben Belgacem	SDGT
BEN HENI, Lased	SDGT
BOUCHOUCHA, Mokhtar	SDGT
ES SAYED, Abdelkader Mahmoud	SDGT
ESSID, Sami Ben Khemais	SDGT
AL-FAWAZ, Khalid Abd al-Rahman Hamd	SDGT
AL-MASRI, Abu Hamza	SDGT
APAOLAZA SANCHO, Ivan	SDGT
BERASATEGUI ESCUDERO, Ismael	SDGT
GALLASTEGUI SODUPE, Lexuri	SDGT
PALACIOS ALDAY, Gorka	SDGT
QUINTANA ZORROZUA, Asier	SDGT
RUBENACH ROIG, Juan Luis	SDGT
ZUBIAGA BRAVO, Manex	SDGT
ASKATASUNA	SDGT
DA COSTA, Luis Fernando	SDNTK
GONZALEZ QUIRARTE, Eduardo	SDNTK
IBRAHIM, Haji	SDNTK
KNOWLES, Samuel	SDNTK
TUITO, Oded	SDNTK
ZAMBADA GARCIA, Ismael	SDNTK] [ILLICIT-DRUGS-EO14059
BABBAR KHALSA INTERNATIONAL	SDGT
INTERNATIONAL SIKH YOUTH FEDERATION	SDGT
NEW PEOPLE'S ARMY / COMMUNIST PARTY OF THE PHILIPPINES	FTO] [SDGT
SISON, Jose Maria	SDGT
BEN SOLTANE, Adel	SDGT
BEN ATTIA, Nabil Ben Mohamed Ben Ali	SDGT
CHEKKOURI, Yassine	SDGT
JELASSI, Riadh Ben Belkassem Ben Mohamed	SDGT
KAMMOUN, Mehdi	SDGT
KISHK, Samir	SDGT
MAAROUFI, Tarek Ben Habib Ben Al-Toumi	SDGT
REMADNA, Abdelhalim	SDGT
THAER, Mansour	SDGT
TLILI, Al-Azhar Ben Ammar Ben Abadallah	SDGT
WADDANI, Habib	SDGT
EASTERN TURKISTAN ISLAMIC MOVEMENT	SDGT
JULAIDAN, Wa'el Hamza Abd Al-Fatah	SDGT
BAHAJI, Said	SDGT
BINALSHIBH, Ramzi Mohammed Abdullah	SDGT
EL MOTASSADEQ, Mounir	SDGT
ESSABAR, Zakarya	SDGT
TUNISIAN COMBAT GROUP	SDGT
GLOBAL RELIEF FOUNDATION, INC.	SDGT
GLOBAL RELIEF FOUNDATION, INC.	SDGT
JEMAA ISLAMIYAH	FTO] [SDGT
GOMEZ BUSTAMANTE, Luis Hernando	SDNT
MONTOYA SANCHEZ, Diego Leon	SDNT
AGRICOLA DOIMA DEL NORTE DEL VALLE LTDA.	SDNT
AGROPECUARIA MIRALINDO S.A.	SDNT
GANADERIA EL VERGEL LTDA.	SDNT
GANADERIAS BILBAO LTDA.	SDNT
INMOBILIARIA EL ESCORIAL LTDA.	SDNT
INMOBILIARIA LINARES LTDA.	SDNT
INMOBILIARIA PASADENA LTDA.	SDNT
INVERSIONES LA QUINTA Y CIA. LTDA.	SDNT
LADRILLERA LA CANDELARIA LTDA.	SDNT
MONTOYA LUNA E HIJOS Y CIA. S.C.S.	SDNT
ORGANIZACION LUIS HERNANDO GOMEZ BUSTAMANTE Y CIA S.C.S.	SDNT
VISCAYA LTDA.	SDNT
GOMEZ APONTE, Laura Victoria	SDNT
GOMEZ GOMEZ, Viviana	SDNT
GOMEZ JARAMILLO, Olga Cecilia	SDNT
